4th	absil	rush/fly away (from); burst/fly apart;	present_stem
3rd	absist	"withdraw from; desist, cease; leave off; depart, go away from; stand back;"	present_stem
3rd	absolv	"free (bonds), release; acquit; vote for/secure acquittal; pay off; sum up;"	present_stem
1st	abson	have harsh/discordant/unpleasant sound;	present_stem
2nd	absorb	"devour; swallow up; engulf, submerge; engross; absorb, suck in; import; dry up;"	present_stem
2nd	absorb	"devour; overwhelm; swallow up/engulf, submerge; absorb, suck in; import; dry up;"	present_stem
1st	abst	"stand at a distance, stand off; keep at a distance;"	present_stem
2nd	absterg	"wipe off/clean/away, clean away, cleanse, strip off; banish, expel, dispel;"	present_stem
3rd	absterg	"wipe off/clean/away, clean away, cleanse, strip off; banish, expel, dispel;"	present_stem
2nd	absterr	"frighten off/away; drive away; deter, discourage; keep away/withhold from, den;"	present_stem
2nd	abstin	"withhold, keep away/clear; abstain, fast; refrain (from); avoid; keep hands of;"	present_stem
3rd	abstrah	"drag away from, remove forcibly, abort; carry off to execution; split;"	present_stem
3rd	abstrud	"thrust away, conceal, hide; suppress/prevent (emotion) becoming apparent;"	present_stem
3rd	abstul	"to take away, withdraw;"	present_stem
3rd	absum	"spend, waste, squander, use up; take up (time); consume; exhaust, wear out;"	present_stem
1st	abund	"abound (in), have in large measure; overdo, exceed; overflow; be rich/numerous;"	present_stem
3rd	abvert	"turn away from/aside, divert, rout; disturb; withdraw; steal, misappropriate;"	present_stem
2nd	ac	be sour;	present_stem
2nd	acc	"send for, summon (forth), fetch; invite; (w/mortum) commit suicide;"	present_stem
4th	acc	"send for, summon (forth), fetch; invite; (w/mortum) commit suicide;"	present_stem
3rd	accan	sing to/with;	present_stem
3rd	accant	sing to (person); sing at (place);	present_stem
1st	accapit	admit subservience; acknowledge feudal liability;	present_stem
3rd	acced	"come near, approach; agree with; be added to (w/ad or in + ACC); constitute;"	present_stem
1st	acceler	"speed up, quicken, hurry; make haste, act quickly, hasten; accelerate;"	present_stem
3rd	accend	"kindle, set on fire, light; illuminate; inflame, stir up, arouse; make bright;"	present_stem
2nd	accens	attach as an attendant to; add to;	present_stem
3rd	accent	sing to (person); sing at (place);	present_stem
1st	accept	"receive regularly, take (payment/food); be given (name); submit to; grasp idea;"	present_stem
