"second_conj_not_dep_presentStem"	"second_conj_not_dep___meaning"
"372"	"obtorqueo"	"bend back; twist or turn;"
"373"	"offulgeo"	"shine forth in the path of, appear; shine on;"
"374"	"oleo"	"smell of, smell like;"
"375"	"oporteo"	"require (to be done), order;"
"376"	"oportet"	"it is right/proper/necessary; it is becoming; it behooves; ought;"
"377"	"oppleo"	"fill (completely); overspread;"
"378"	"optineo"	"get hold of; maintain; obtain; hold fast, occupy; prevail;"
"379"	"ostendeo"	"show; reveal; make clear, point out, display, exhibit;"
"380"	"paeniteo"	"displease; (cause to) regret; repent, be sorry; [me paenitet => I am sorry];"
"381"	"paenitet"	"it displeases, makes angry, offends, dissatisfies, makes sorry;"
"382"	"palleo"	"be/look pale; fade; become pale at;"
"383"	"pareo"	"obey, be subject/obedient to; submit/yield/comply; pay attention; attend to;"
"384"	"pareo"	"|appear, be visible, be seen; be clear/evident (legal);"
"385"	"pateo"	"stand open, be open; extend; be well known; lie open, be accessible;"
"386"	"paveo"	"be frightened or terrified at;"
"387"	"peioresceo"	"get worse;"
"388"	"pelluceeo"	"transmit/admit/emit light; be transparent; shine through/out; be apparent;"
"389"	"pendeo"	"hang, hang down; depend; [~ ab ore => hang upon the lips, listen attentively];"
"390"	"peniteo"	"displease; (cause to) regret; repent, be sorry; [me paenitet => I am sorry];"
"391"	"peniteo"	"|do penance;"
"392"	"penitet"	"it displeases, makes angry, offends, dissatisfies, makes sorry;"
"393"	"percenseo"	"enumerate, recite from start to finish; inspect/examine/go over thoroughly;"
"394"	"percenseo"	"|run one's mind over, review; survey, make complete/methodical assessment of;"
"395"	"percieo"	"excite; set in motion;"
"396"	"perdoceo"	"instruct thoroughly;"
"397"	"perdoleo"	"vex, bother, cause grief/annoyance; grieve, be annoyed;"
"398"	"pergaudeo"	"rejoice greatly;"
"399"	"perhibeo"	"present, give, bestow; regard, hold; name;"
"400"	"perhorreo"	"tremble at;"
"401"	"perlateo"	"lie well hidden;"
"402"	"perlibet"	"it is very pleasing/agreeable; please very much;"
"403"	"perluceo"	"transmit/admit/emit light; be transparent; shine through/out; be apparent;"
"404"	"permaneo"	"last, continue; remain; endure;"
"405"	"permisceo"	"mix or mingle together; confound; embroil; disturb thoroughly;"
"406"	"permoveo"	"stir up; move deeply; influence; agitate;"
"407"	"permulceo"	"rub gently, stroke, touch gently; charm, please, beguile; soothe, alleviate;"
"408"	"peroleo"	"emit strong odor;"
"409"	"persedeo"	"remain sitting; stay seated;"
"410"	"persuadeo"	"persuade, convince (with dat.);"
"411"	"pertaedet"	"it wearies; it disgusts; it bores;"
"412"	"perterreo"	"frighten greatly, terrify;"
"413"	"pertineo"	"reach; extend; relate to; concerns, pertain to;"
"414"	"pertorqueo"	"distort;"
"415"	"perurgueo"	"press hard on; oppress; take pains; (=perurgeo);"
"416"	"pervideo"	"take in with the eyes or mind;"
"417"	"pervigeo"	"continue to bloom;"
"418"	"piget"	"it disgusts, irks, pains, chagrins, afflicts, grieves;"
"419"	"placeo"	"please, satisfy, give pleasure to (with dat.);"
"420"	"placet"	"it is pleasing/satisfying, gives pleasure; is believed/settled/agreed/decided;"
"421"	"plaudeo"	"clap, strike (w/flat hand), pat; beat (wings); applaud; express (dis)approval;"
"422"	"poeniteo"	"displease; (cause to) regret; repent, be sorry; [me paenitet => I am sorry];"
"423"	"poenitet"	"it displeases, makes angry, offends, dissatisfies, makes sorry;"
"424"	"polleo"	"exert power or influence; be strong;"
"425"	"polluceo"	"offer, serve up;"
"426"	"pollueo"	"pollute;"
"427"	"porceo"	"keep off; (archaic);"
"428"	"possideo"	"seize, hold, be master of; possess, take/hold possession of, occupy; inherit;"
"429"	"posthabeo"	"esteem less, subordinate (to); postpone;"
"430"	"praebeo"	"present/show/put forward; offer; expose physically oneself; expose/submit/allow;"
"431"	"praebeo"	"|make available, supply, provide; be the cause, occasion, produce; render;"
"432"	"praecaveo"	"guard (against), beware;"
"433"	"praedisponeo"	"plan;"
"434"	"praefulgeo"	"shine with outstanding brightness, bean/shine forth; be outstanding, outshine;"
"435"	"praejaceo"	"lie before;"
"436"	"praeluceo"	"shine forth, outshine; light the way (for);"
"437"	"praemineo"	"excel; be prominent; (prae-emineo);"
"438"	"praemoneo"	"forewarn;"
"439"	"praemordeo"	"bite off; pilfer;"
"440"	"praemoveo"	"pre-move; move beforehand; stir greatly;"
"441"	"praeniteo"	"shine forth;"
"442"	"praependeo"	"hang down in front;"
"443"	"praepolleo"	"be very powerful; be very strong;"
"444"	"praesideo"	"keep/watch/stand//guard (over); preside (over); supervise/govern/control;"
"445"	"praesupponeo"	"presuppose;"
"446"	"praetepeo"	"glow before;"
"447"	"praetimeo"	"fear in advance;"
"448"	"praetorqueo"	"twist round;"
"449"	"praevaleo"	"prevail; have superior power/force/weight/influence/worth/efficacy (medicine);"
"450"	"praevideo"	"foresee, see in advance;"
"451"	"prandeo"	"eat one's morning or midday meal;"
"452"	"prebeo"	"present/show/put forward; offer; expose physically oneself; expose/submit/allow;"
"453"	"prebeo"	"|make available, supply, provide; be the cause, occasion, produce; render;"
"454"	"prodoceo"	"preach (Collins); teach, inculcate; indoctrinate (Nelson);"
"455"	"profisceo"	"set out; depart;"
"456"	"prohibeo"	"hinder, restrain; forbid, prevent;"
"457"	"prohibesseo"	"hinder, restrain; forbid, prevent; (archaic form of prohibeo);"
"458"	"promereo"	"deserve, merit; deserve well of; earn; gain;"
"459"	"promineo"	"jut out, stick up;"
"460"	"promoveo"	"move forward;"
"461"	"propendeo"	"hand down; weigh more; be inclined;"
"462"	"proterreo"	"frighten;"
"463"	"provideo"	"foresee; provide for, make provision; with DAT;"
"464"	"pudeo"	"be ashamed; make ashamed; [me pudet => I am ashamed];"
"465"	"pudet"	"it shames, make ashamed; [me tui pudet => I am ashamed of you];"
"466"	"puteo"	"stink, be rotten/putrid; smell bad; rot/decompose (in such a way as to stink);"
"467"	"ratihabeo"	"ratify;"
"468"	"reageo"	"react;"
"469"	"recaleo"	"grow warm (again);"
"470"	"recalesceo"	"grow warm (again);"
"471"	"recenseo"	"review/examine/survey/muster; enumerate/count, make census/roll; pass in review;"
"472"	"recenseo"	"review/examine/survey/muster; enumerate/count, make census/roll; pass in review;"
"473"	"recipeo"	"record (sounds, pictures);"
"474"	"recudeo"	"reprint;"
"475"	"redhibeo"	"take back;"
"476"	"redoleo"	"emit a scent, be odorous;"
"477"	"referveo"	"boil over;"
"478"	"refoveo"	"warm again; refresh, revive;"
"479"	"refulgeo"	"flash back, reflect light; shine brightly; gleam, glitter, glisten;"
"480"	"reimprimeo"	"reprint;"
"481"	"reluceo"	"shine out;"
"482"	"remaneo"	"stay behind; continue, remain;"
"483"	"remisceo"	"mix/mingle in; remix/remingle (L+S); mix up/again; intermingle;"
"484"	"remisceo"	"mix/mingle in; remix/remingle (L+S); mix up/again; intermingle;"
"485"	"remordeo"	"bite back; gnaw, nag;"
"486"	"removeo"	"move back; put away; withdraw; remove;"
"487"	"remulceo"	"stroke/fold back;"
"488"	"reneo"	"unspin; undo;"
"489"	"renideo"	"shine (back), gleam; smile back (at);"
"490"	"repleo"	"fill again; complete, fill;"
"491"	"resideo"	"sit down/on/in; settle; be perched; remain seated/idle/fixed/in place; squat;"
"492"	"resideo"	"|abate/subside; be left over/retained, persist/stay; fall back; W:be encamped;"
"493"	"resorbeo"	"swallow down;"
"494"	"resplendeo"	"shine brightly (w/reflected light); radiate light/shine brightly (luminary);"
"495"	"respondeo"	"answer;"
"496"	"reticeo"	"keep silent; give no reply; refrain from speaking/mentioning; leave unsaid;"
"497"	"retineo"	"hold back, restrain; uphold; delay; hold fast; retain,preserve;"
"498"	"retorqueo"	"twist back; cast back; fling back; turn aside;"
"499"	"rideo"	"laugh at (with dat.), laugh; ridicule;"
"500"	"rigeo"	"be stiff or numb; stand on end; be solidified;"
"501"	"rubeo"	"be red, become red;"
"502"	"salveo"	"be well/in good health; [salve => hello/hail/greetings; farewell/goodbye];"
"503"	"scateo"	"gush out, bubble, spring forth; swarm (with), be alive (with);"
"504"	"sedeo"	"sit, remain; settle; encamp;"
"505"	"semoveo"	"separate, set aside (Collins); remove, set apart, isolate (Nelson);"
"506"	"seneo"	"be old;"
"507"	"sepeleo"	"bury/inter; (Romans cremate + inter ashes); submerge, overcome; suppress; ruin;"
"508"	"sileo"	"be silent, not to speak (about); be quiet; not to function;"
"509"	"soleo"	"be in the habit of; become accustomed to;"
"510"	"sorbeo"	"drink, absorb;"
"511"	"sordeo"	"be dirty/soiled; seem mean/unworthy/not good enough/common/coarse/vile/ignoble;"
"512"	"sordesceo"	"become dirty; grow wild; be mean;"
"513"	"splendeo"	"shine/gleam/glitter, be bright/radiant/resplendent (white/color)/distinguished;"
"514"	"spondeo"	"promise, give pledge/undertaking/surety; contract to give/take in marriage;"
"515"	"spondeo"	"promise, give pledge/undertaking/surety; contract to give/take in marriage;"
"516"	"squaleo"	"be covered with a rough or scaly layer; be dirty;"
"517"	"strideo"	"creak, squeak, grate, shriek, whistle; (make shrill sound); hiss; gnash;"
"518"	"studeo"	"desire, be eager for; busy oneself with; strive;"
"519"	"stupeo"	"be astounded;"
"520"	"suadeo"	"urge, recommend; suggest; induce; propose, persuade, advise;"
"521"	"subinvideo"	"envy a little; be somewhat envious;"
"522"	"subjaceo"	"lie underneath/below/at the foot/edge of/exposed (to); come under heading of;"
"523"	"subluceo"	"shine faintly, glimmer;"
"524"	"submoneo"	"remind secretly;"
"525"	"submoveo"	"remove; drive off, dislodge; expel; ward off; keep at a distance; bar/debar;"
"526"	"subolet"	"make a weak scent; [mihi subolet => I detect/smell/sniff out];"
"527"	"subrideo"	"smile;"
"528"	"subrubeo"	"be tinged with red or purple;"
"529"	"subtimeo"	"be somewhat afraid;"
"530"	"suburgeo"	"drive up close;"
"531"	"sueo"	"to accustom; to be accustomed;"
"532"	"summoneo"	"remind secretly;"
"533"	"summoveo"	"remove; drive off, dislodge; expel; ward off; keep at a distance; bar/debar;"
"534"	"superemineo"	"overtop, stand out above the level of;"
"535"	"superimmineo"	"stand above in a threatening position;"
"536"	"superinvaleo"	"excel in strength;"
"537"	"superjaceo"	"lie over; lie upon;"
"538"	"supersedeo"	"refrain (from), desist (from);"
"539"	"suppleo"	"supply;"
"540"	"suppudet"	"be somewhat ashamed;"
"541"	"suscenseo"	"be angry; be indignant with;"
"542"	"sustineo"	"support; check; put off; put up with; sustain; hold back;"
"543"	"tabeo"	"rot away, decay; waste away;"
"544"	"taceo"	"be silent; pass over in silence; leave unmentioned, be silent about something;"
"545"	"taedeo"	"be tired/weary/sick (of) (w/GEN or INF+ACC of person); be disgusted/offended;"
"546"	"taedet"	"be tired/weary/sick (of) (w/GEN or INF+ACC of person); be disgusted/offended;"
"547"	"teneo"	"hold, keep; comprehend; possess; master; preserve; [tenere memoria => remember];"
"548"	"teneo"	"|represent; support;"
"549"	"tepeo"	"be warm/tepid/lukewarm; have body warmth; feel love warmth/glow; fall flat;"
"550"	"tergeo"	"rub, wipe; wipe off, wipe dry; clean, cleanse;"
"551"	"terreo"	"frighten, scare, terrify, deter;"
"552"	"timeo"	"fear, dread, be afraid (ne + SUB = lest; ut or ne non + SUB = that ... not);"
"553"	"tondeo"	"cut, shear, clip;"
"554"	"torpeo"	"be numb or lethargic; be struck motionless from fear;"
"555"	"torqueo"	"turn, twist; hurl; torture; torment; bend, distort; spin, whirl; wind (round);"
"556"	"torreo"	"parch, roast, scorch, bake, burn; dry up; begin to burn; harden by charring;"
"557"	"transluceo"	"shine through or across; be transparent;"
"558"	"transmoveo"	"remove; transfer;"
"559"	"transtineo"	"go through (Plautus);"
"560"	"tumeo"	"swell, become inflated; be puffed up; be bombastic; be swollen with conceit;"
"561"	"turgeo"	"swell out, become swollen or tumid;"
"562"	"umeo"	"be wet; be moist;"
"563"	"ungueo"	"anoint/rub (w/oil/unguent); smear with oil/grease; dress (food w/oil); add oil;"
"564"	"urgeo"	"press/squeeze/bear hard/down; tread/traverse continually; push/shove/thrust;"
"565"	"urgeo"	"|spur on, urge; press hard in attack/pursuit, beset, follow hard on heels of;"
"566"	"urgeo"	"||hem in; threaten by proximity; press verbally/argument/point; follow up;"
"567"	"urgueo"	"press/squeeze/bear hard/down; tread/traverse continually; push/shove/thrust;"
"568"	"urgueo"	"|spur on, urge; press hard in attack/pursuit, beset, follow hard on heels of;"
"569"	"urgueo"	"||hem in; threaten by proximity; press verbally/argument/point; follow up;"
"570"	"valeo"	"be strong/powerful/influential/healthy; prevail; [vale => goodbye/farewell];"
"571"	"valet"	"farewell, goodbye, adieu (the Roman equivalent of \"Live long and prosper\");"
"572"	"vegeo"	"stir up, excite;"
"573"	"video"	"see, look at; consider; (PASS) seem, seem good, appear, be seen;"
"574"	"vieo"	"plait, weave; bend/twist into basketwork;"
"575"	"vigeo"	"be strong/vigorous; thrive, flourish, bloom/blossom; be active, be effective;"
"576"	"vireo"	"be green or verdant; be lively or vigorous; be full of youthful vigor;"
"577"	"voveo"	"vow, dedicate, consecrate;"
