"third_conj_not_dep_presentStem"	"third_conj_not_dep___meaning"
"597"	"complecto"	"|lay hold of, grip; seize; grasp, take in/up; sum up; include in scope, cover;"
"598"	"complodo"	"clap/strike (hands) together, applaud (enthusiastically/with emotion);"
"599"	"complut"	"rain-water runs/flows together/collects; it rains upon (L+S);"
"600"	"compono"	"compare; place/put/add/collect together, collate; match (up); store/hoard; calm;"
"601"	"compono"	"|construct, build; arrange, compile, compose, make up; organize, order; settle;"
"602"	"compraecido"	"cut each other off; cut off at same time (?) (L+S);"
"603"	"comprehendo"	"catch/seize/grasp firmly; arrest; take hold/root/fire, ignite; conceive (baby);"
"604"	"comprehendo"	"|embrace; include/cover/deal with (in speech/law); express (by term/symbol);"
"605"	"comprendo"	"catch/seize/grasp firmly; arrest; take hold/root/fire, ignite; conceive (baby);"
"606"	"comprendo"	"|embrace; include/cover/deal with (in speech/law); express (by term/symbol);"
"607"	"comprimo"	"press/squeeze together, fold, crush; hem/shut/keep/hold in; copulate (male);"
"608"	"comprimo"	"|suppress/control/stifle/frustrate/subdue/cow, put down; hold breath; silence;"
"609"	"compromitto"	"enter into agreement to submit to arbitration/arbiter; agree to pay award;"
"610"	"compungo"	"cause repentance; feel remorse/contrition; inspire w/devotion; (PASS) repent;"
"611"	"compungo"	"prick, puncture (thoroughly); goad, stimulate; mark with points, tattoo;"
"612"	"computesco"	"decay, rot, putrefy; (completely);"
"613"	"computresco"	"decay, rot, putrefy; (completely);"
"614"	"conbibo"	"drink completely/together/up; hold back (tears); absorb, soak in; swallow up;"
"615"	"conburo"	"burn up/away; (w/love); consume/destroy w/fire; reduce to ash, cremate; scald;"
"616"	"conburo"	"burn up/away; (w/love); consume/destroy w/fire; reduce to ash, cremate; scald;"
"617"	"concado"	"fall together/at same time;"
"618"	"concalefacio"	"heat; make warm, warm thoroughly (L+S);"
"619"	"concalesco"	"become/grow warm; warm up (with enthusiasm); glow with love (L+S);"
"620"	"concalfacio"	"heat; make warm, warm thoroughly (L+S);"
"621"	"concallesco"	"grow/become hard/hardened/callous/insensitive/shrewd/insensible/dull/obtuse;"
"622"	"concandefacio"	"heat thoroughly;"
"623"	"concandesco"	"glow, become inflamed;"
"624"	"concedo"	"relinquish/give up/concede; depart; pardon; submit, allow/grant/permit/condone;"
"625"	"concerno"	"mix/mingle together (as in sieve in order to separate by sifting); sift/examine;"
"626"	"concerpo"	"tear/pull in/to pieces; pluck off; tear up, rend; censure, abuse, revile;"
"627"	"concido"	"fall down/faint/dead/victim/to earth/short, collapse; drop, subside; decline;"
"628"	"concido"	"|perish, be slain/sacrificed; lose one's case, fail, give out/lose heart, decay;"
"629"	"concido"	"cut/chop up/down/to pieces; crop; ruin, kill, destroy; divide minutely; beat;"
"630"	"concingo"	"gird; surround completely;"
"631"	"concino"	"sing/chant/shout/sound together; celebrate in song; say same thing, agree;"
"632"	"concipio"	"take in/up, receive, catch; derive/draw (from); contain/hold; grasp; adopt; wed;"
"633"	"concipio"	"|form, devise; understand, imagine; conceive, be mother of; utter (oath/prayer);"
"634"	"concludo"	"shut up, confine; contain, limit; close; include (limit); conceal, keep secret;"
"635"	"concludo"	"|conclude/finish; define; construct/compose (sentence); infer, deduce, imply;"
"636"	"concoquo"	"cook down; heat/burn thoroughly; concoct from various ingredients; ripen/mature;"
"637"	"concoquo"	"|digest/promote digestion; put up with/tolerate/stomach; ponder; devise/concoct;"
"638"	"concrebresco"	"become frequent; (thoroughly, very); increase, gather strength (L+S);"
"639"	"concredo"	"entrust for safe keeping; confide (secret or similar); consign/commit (L+S);"
"640"	"concreduo"	"entrust for safe keeping; confide (secret or similar); consign/commit (L+S);"
"641"	"concresco"	"thicken; condense/collect; set/curdle/congeal; clot/coagulate; solidify/freeze;"
"642"	"concrucifigo"	"crucify together;"
"643"	"concumbo"	"lie with/together (w/DAT); (for sexual intercourse); cohabit;"
"644"	"concupio"	"desire/wish greatly/eagerly/ardently; covet, long for, be desirous of;"
"645"	"concupisco"	"desire eagerly/ardently; covet, long for; aim at; conceive a strong desire for;"
"646"	"concurro"	"run/assemble/knock/snap together; agree, fit, concur; coincide; make same claim;"
"647"	"concurro"	"|charge, fight/engage in battle; come running up/in large numbers; rally;"
"648"	"concurro"	"run/assemble/knock/snap together; agree, fit, concur; coincide; make same claim;"
"649"	"concurro"	"|charge, fight/engage in battle; come running up/in large numbers; rally;"
"650"	"concutio"	"shake/vibrate/agitate violently; wave, brandish; (sound) strike (the ear);"
"651"	"concutio"	"|strike together/to damage; weaken/shake/shatter; harass/intimidate; rouse;"
"652"	"condecerno"	"decide, judge, determine together; jointly settle/resolve;"
"653"	"condeliquesco"	"melt wholly/completely (away); dissolve (completely), dissipate;"
"654"	"condepso"	"knead together;"
"655"	"condescendo"	"condescend, stoop; let oneself down;"
"656"	"condico"	"agree (on), declare/promise; undertake; give notice; obligate, engage (to dine);"
"657"	"condico"	"|claim redress/restitution; make actions for damages; fix/appoint (date/price);"
"658"	"condisco"	"learn thoroughly/well; learn about; learn in company with (another) (w/DAT);"
"659"	"condo"	"put/insert (into); store up/put away, preserve, bottle (wine); bury/inter; sink;"
"660"	"condo"	"|build/found, make; shut (eyes); conceal/hide/keep safe; put together, compose;"
"661"	"condo"	"||restore; sheathe (sword); plunge/bury (weapon in enemy); put out of sight;"
"662"	"condocefacio"	"train; discipline; teach, instruct (L+S);"
"663"	"condolesco"	"be painful, ache; feel grief/sorrow; grieve;"
"664"	"condormisco"	"fall asleep, go to sleep;"
"665"	"conduco"	"be of advantage/profitable/expedient; be proper/fitting/concerned with; tend to"
"666"	"conduco"	"draw/bring together, collect, assemble; unite/join; cause to curdle/coagulate;"
"667"	"conduco"	"|employ, hire; rent; borrow; contract for, undertake; farm the taxes;"
"668"	"conecto"	"join/fasten/link together, connect/associate; lead to; tie; implicate/involve;"
"669"	"confacio"	"make together;"
"670"	"confervefacio"	"boil, make thoroughly hot;  make glowing/melting hot (L+S);"
"671"	"confervesco"	"become heated; grow hot; begin to boil (L+S); heal, grow together (bones);"
"672"	"confervesco"	"become heated; grow hot; begin to boil (L+S); heal, grow together (bones);"
"673"	"confervo"	"knit (broken bones), grow together, heal; seethe/boil together (L+S);"
"674"	"confervo"	"knit (broken bones), grow together, heal; seethe/boil together (L+S);"
"675"	"conficio"	"make, construct; prepare, complete, accomplish; cause; perform; do thoroughly;"
"676"	"conficio"	"|compose; amass, collect; raise (troops); traverse; eat up, consume; expend;"
"677"	"conficio"	"||finish off; kill, dispatch; defeat finally, subdue/reduce/pacify; chop/cut up;"
"678"	"confido"	"have confidence in, rely on, trust (to); believe, be confident/assured; be sure;"
"679"	"configo"	"fasten/nail together, construct; set/cover with studs/points; drive in (nails);"
"680"	"configo"	"|pierce through, transfix; strike down, pierce with a weapon;"
"681"	"confindo"	"split, cleave; divide, cleave asunder (L+S);"
"682"	"confingo"	"fashion/fabricate, construct by shaping/molding; invent/feign/devise; pretend;"
"683"	"conflaccesco"	"grow weak; grow quite languid (L+S);"
"684"	"confligo"	"clash, collide; contend/fight/combat; be in conflict/at war; argue/disagree;"
"685"	"confluo"	"flow/flock/come together/abundantly, meet/assemble; gather/collect; be brought;"
"686"	"confodio"	"stab/run through, wound fatally; pierce, harm; dig up/turn over (land); trench;"
"687"	"confracesco"	"putrefy, rot;"
"688"	"confremo"	"resound, ring, echo; make a noise; murmur loudly;"
"689"	"confrigo"	"burn up;"
"690"	"confringo"	"break up/down/in pieces/in two; shatter/destroy/crush/ruin/wreck; subvert/undo;"
"691"	"confugio"	"flee (for refuge/safety/protection); take refuge; have recourse/appeal to;"
"692"	"confundo"	"pour/mix/mass/bring together; combine/unite/blend/merge; spread over, diffuse;"
"693"	"confundo"	"|upset/confuse; blur/jumble; bring disorder/ruin; disfigure; bewilder, dismay;"
"694"	"congelasco"	"freeze; congeal owing to cold;"
"695"	"congemisco"	"sigh deeply;"
"696"	"congemo"	"groan/moan (loudly), utter a cry of grief/pain; bewail, lament; sigh deeply;"
"697"	"congermanesco"	"become allied/united (to); grow up/together with one (L+S);"
"698"	"congero"	"collect, bring/get together, amass; heap/pile up/on; build, construct; compile;"
"699"	"congero"	"|consign (to one's stomach); assemble/crowd together; give repeatedly, shower;"
"700"	"conglisco"	"grow, increase; blaze up, be kindled; become illustrious;"
"701"	"congruo"	"agree, coincide, correspond, be consistent; be suited, be adapted; fit in;"
"702"	"congruo"	"|unite, combine, come together; blend, harmonize, act together; be congenial;"
"703"	"conicio"	"throw/put/pile together; conclude, infer/guess; assign, make go; classify, put;"
"704"	"conicio"	"|throw/cast/fling (into area); devote/pour (money); thrust, involve; insert;"
"705"	"coninquo"	"cut back, prune; cut off, cut down (L+S);"
"706"	"conjicio"	"throw/put/pile together; conclude, infer/guess; assign, make go; classify, put;"
"707"	"conjicio"	"|throw/cast/fling (into area); devote/pour (money); thrust, involve; insert;"
"708"	"conjungo"	"connect, join/yoke together; marry; connect/compound (words) (w/conjunctions);"
"709"	"conjungo"	"|unite (sexually); place/bring side-by-side; juxtapose; share; add; associate;"
"710"	"conlabasco"	"waver/totter/become unsteady at the same time; waver/totter with;"
"711"	"conlesco"	"lighten up, become illuminated; become clear/intelligible;"
"712"	"conlido"	"strike/dash together; crush, batter, deform; set into conflict with each other;"
"713"	"conligo"	"collect, assemble, bring/gather/hold/keep together; combine; harvest; pick up;"
"714"	"conligo"	"|obtain/acquire, amass; rally; recover; sum up; deduce, infer; compute, add up;"
"715"	"conligo"	"collect, assemble, bring/gather/hold/keep together; combine; harvest; pick up;"
"716"	"conligo"	"|obtain/acquire, amass; rally; recover; sum up; deduce, infer; compute, add up;"
"717"	"conlino"	"besmear, smear over; soil, pollute, defile;"
"718"	"conliquefacio"	"melt, liquefy; dissolve;"
"719"	"conliquesco"	"melt, liquefy (w/in+ACC); turn into by liquefying; melt along with; dissolve;"
"720"	"conludo"	"play/sport together/with; (also) make sport; act in collusion (with);"
"721"	"conluo"	"wash/rinse out; wash/rinse away (impurities); wash together; use as a wash(?);"
"722"	"conmitto"	"bring together, unite/join, connect/attach; put together, construct; entrust;"
"723"	"conmitto"	"|engage (battle), set against; begin/start; bring about; commit; incur; forfeit;"
"724"	"conmonefacio"	"recall, remember; call to mind; remind (forcibly), warn, admonish; impress upon;"
"725"	"conmuro"	"burn up/away; (w/love); consume/destroy w/fire; reduce to ash, cremate; scald;"
"726"	"connecto"	"join/fasten/link together, connect/associate; lead to; tie; implicate/involve;"
"727"	"conparco"	"save, husband well, lay up; forbear/abstain/refrain from (w/INF), spare (w/DAT);"
"728"	"conparco"	"save, husband well, lay up; forbear/abstain/refrain from (w/INF), spare (w/DAT);"
"729"	"conparco"	"save, husband well, lay up; forbear/abstain/refrain from (w/INF), spare (w/DAT);"
"730"	"conpasco"	"pasture (cattle) on common land; feed up/together; use as cattle food; eat;"
"731"	"conpavesco"	"become very afraid/full of fear/thoroughly terrified;"
"732"	"conpello"	"drive together (cattle), round up; force, compel, impel, drive; squeeze; gnash;"
"733"	"conpendo"	"weigh/balance together;"
"734"	"conperco"	"save, husband well, lay up; forbear/abstain/refrain from (w/INF), spare (w/DAT);"
"735"	"conperco"	"save, husband well, lay up; forbear/abstain/refrain from (w/INF), spare (w/DAT);"
"736"	"conpesco"	"restrain, check; quench; curb, confine, imprison; hold in check; block, close;"
"737"	"conpeto"	"meet; happen at same time, coincide; agree; be candidate/face (death) together;"
"738"	"conpeto"	"|be sound/capable/applicable/relevant/sufficient/adequate/competent/admissible;"
"739"	"conpingo"	"join/fix/attach; bind together; build/construct/compose; put/shut away, confine;"
"740"	"conpingo"	"disguise, cover, paint over;"
"741"	"conplecto"	"embrace, hug; welcome; encircle, encompass; attain; include, bring in, involve;"
"742"	"conplecto"	"|lay hold of, grip; seize; grasp, take in/up; sum up; include in scope, cover;"
"743"	"conplodo"	"clap/strike (the hands) together, applaud (enthusiastically/with emotion);"
"744"	"conplut"	"rain-water runs/flows together/collects; it rains upon (L+S);"
"745"	"conpono"	"compare; place/put/add/collect together, collate; match (up); store/hoard; calm;"
"746"	"conpono"	"|construct, build; arrange, compile, compose, make up; organize, order; settle;"
"747"	"conpraecido"	"cut each other off; cut off at the same time (?) (L+S);"
"748"	"conprehendo"	"catch/seize/grasp firmly; arrest; take hold/root/fire, ignite; conceive (baby);"
"749"	"conprehendo"	"|embrace; include/cover/deal with (in speech/law); express (by term/symbol);"
"750"	"conprendo"	"catch/seize/grasp firmly; arrest; take hold/root/fire, ignite; conceive (baby);"
"751"	"conprendo"	"|embrace; include/cover/deal with (in speech/law); express (by term/symbol);"
"752"	"conprimo"	"press, squeeze together, close;"
"753"	"conprimo"	"press/squeeze together, fold, crush; hem/shut/keep/hold in; copulate (male);"
"754"	"conprimo"	"|suppress/control/stifle/frustrate/subdue/cow, put down; hold breath; silence;"
"755"	"conpromitto"	"enter a promissum, agree to submit to an arbiter; agree to pay the award;"
"756"	"conpungo"	"prick, puncture (thoroughly); goad, stimulate; mark with points, tattoo;"
"757"	"conpungo"	"|cause repentance; feel remorse/contrition; inspire w/devotion; (PASS) repent;"
"758"	"conputesco"	"decay, rot, putrefy; (completely);"
"759"	"conputresco"	"decay, rot, putrefy; (completely);"
"760"	"conquaero"	"seek out; hunt/rake up; investigate; collect; search out/down/for diligently;"
"761"	"conquiesco"	"rest, take repose/be quiet, nap/go to sleep; have respite/pause from (w/ab/ex);"
"762"	"conquiesco"	"|be inactive; pause (speaking); relax; settle/quiet down; come to an end/cease;"
"763"	"conquinisco"	"cower down, crouch down; stoop; squat;"
"764"	"conquiro"	"seek out; hunt/rake up; investigate; collect; search out/down/for diligently;"
"765"	"conrado"	"rake/sweep/draw together; amass with difficulty, scrape together; scrape off;"
"766"	"conrepo"	"creep, crawl; slink, move stealthily; take to the bush; creep (of the flesh);"
"767"	"conrigo"	"correct, set right; straighten; improve, edit, reform; restore, cure; chastise;"
"768"	"conripio"	"seize/grasp/snatch up, lay hold of; sweep off; carry away; appropriate/arrogate;"
"769"	"conripio"	"|censure/reproach/rebuke/chastise; shorten/abridge; hasten (upon); catch (fire);"
"770"	"conrodo"	"gnaw, gnaw away; chew up; gnaw to pieces (L+S);"
"771"	"conrumpo"	"spoil/rot; taint/contaminate; damage/ruin, undo; destroy/deface; digest; infect;"
"772"	"conrumpo"	"|pervert, corrupt, deprave; bribe, suborn; seduce, tempt, beguile; falsify;"
"773"	"conruo"	"fall/break down, fall to ground/from height, collapse; be ruined, come to grief;"
"774"	"conruo"	"|topple (houses); subside (ground); rush/sweep together; overthrow;"
"775"	"consanesco"	"heal up (wounds/plants); be healed (persons); become whole/sound/well (L+S);"
"776"	"conscendo"	"climb up, ascend, scale; rise to; mount (horse); board (ship)/embark/set out;"
"777"	"conscindo"	"rend/tear to pieces, destroy by tearing; slaughter, cut to pieces;"
"778"	"conscisco"	"ordain/decree/determine/resolve; decide/inflict on; bring on oneself (w/sibi);"
"779"	"conscribo"	"enroll/enlist/raise (army); write on/down, commit to/cover with writing; compose"
"780"	"consenesco"	"grow old; grow old together; spend one's whole life/grow old in; decay, spoil;"
"781"	"consenesco"	"|decline, go gray, grow feeble; fade/waste away, sink; lose respect;"
"782"	"consenesco"	"||lose force, become invalid, fall into disuse; become of no account;"
"783"	"consero"	"connect/link, fasten/press/put together; construct/compose; join, engage (in);"
"784"	"consero"	"connect/link, fasten/press/put together; construct/compose; join, engage (in);"
"785"	"consero"	"sow, plant (field/crops/seeds/tree), set; breed; sow/strew plentifully/thickly;"
"786"	"consero"	"sow, plant (field/crops/seeds/tree), set; breed; sow/strew plentifully/thickly;"
"787"	"consido"	"sit down/be seated; hold sessions, sit (judge), try; alight; subside/sink (in);"
"788"	"consido"	"|encamp/bivouac; take up a position; stop/stay, make one's home, settle; lodge;"
"789"	"consido"	"sit down/be seated; hold sessions, sit (judge), try; alight; subside/sink (in);"
"790"	"consido"	"|encamp/bivouac; take up a position; stop/stay, make one's home, settle; lodge;"
"791"	"consilesco"	"fall silent; become still; be hushed (L+S); keep silent; grow dumb;"
"792"	"consipio"	"be sane, be in one's right mind; be of sound mind (L+S);"
"793"	"consisto"	"stop/stand/halt/cease; pause, linger; stop spreading/flowing; take a position;"
"794"	"consisto"	"|stand together/fast; consist of/be reckoned in; rest/depend upon; be unaltered;"
"795"	"consisto"	"||make a stand; stay, remain (fixed), stand still/erect/upright; correspond to;"
"796"	"consisto"	"|||come about, exist; fall due (tax); be established; remain valid/applicable;"
"797"	"conspargo"	"sprinkle/strew/spatter, cover with small drops/particles; diversify/intersperse;"
"798"	"conspergo"	"sprinkle/strew/spatter, cover with small drops/particles; diversify/intersperse;"
"799"	"conspicio"	"observe/see/witness; notice; watch; gaze/stare on; catch/be in sight of; face;"
"800"	"conspicio"	"|have appearance; attract attention; discern; (PASS) be conspicuous/visible;"
"801"	"consplendesco"	"shine very much/brightly/splendidly;"
"802"	"conspuo"	"spit; spit out much; spit it out;"
"803"	"conspuo"	"spit on, sputter over; besplatter with saliva; (contempt); spit; spit it out;"
"804"	"consterno"	"strew/cover/spread (rugs); cover/lay/pave/line; bring down, lay low; calm (sea);"
"805"	"constituo"	"set up/in position, erect; place/dispose/locate; (call a) halt; plant (trees);"
"806"	"constituo"	"|decide/resolve; decree/ordain; appoint, post/station (troops); settle (colony);"
"807"	"constituo"	"||establish/create/institute; draw up, arrange/set in order; make up, form; fix;"
"808"	"constrepo"	"make a loud noise; resound; sound loudly/boisterously (L+S); (of vivid speech);"
"809"	"constringo"	"bind fast/tight, tie up/together; confine, restrain; hinder, inhibit, control;"
"810"	"constringo"	"|compress/squeeze; make smaller/lessen/contract; hold together; congeal/freeze;"
"811"	"construo"	"heap/pile/load (up); make/build/construct; arrange (in group); amass, collect;"
"812"	"consubigo"	"knead/work/mix/force together;"
"813"	"consudasco"	"sweat profusely/thoroughly/much; exude moisture (of packed olives L+S);"
"814"	"consudesco"	"sweat profusely/thoroughly/a lot; exude moisture (of packed olives L+S);"
"815"	"consuefacio"	"accustom, acclimate, make used to, habituate, inure;"
"816"	"consuesco"	"accustom oneself; become/be accustomed/used; inure, habituate; familiarize;"
"817"	"consuesco"	"|be intimate/have sexual intercourse with; form a habit; be in the habit of;"
"818"	"consulo"	"ask information/advice of; consult, take counsel; deliberate/consider; advise;"
"819"	"consulo"	"|decide upon, adopt; look after/out for (DAT), pay attention to; refer to;"
"820"	"consumo"	"burn up, destroy/kill; put end to; reduce/wear away; annul; extinguish (right);"
"821"	"consumo"	"|devour/swallow up/consume/eat/use up/exhaust/expend; spend; squander/waste;"
"822"	"consuo"	"sew together/up, stitch/join; make by sewing together; patch up; devise, plan;"
"823"	"consurgo"	"rise/stand up (body of people); rise (jury/from meal/to speak/from bed); ambush;"
"824"	"consurgo"	"|aspire to, rouse, prepare; break out, come from hiding; grow/spring up, rise;"
"825"	"contabefacio"	"make to waste away; wear away; consume;"
"826"	"contabesco"	"melt/waste slowly/completely away, decline in health; be consumed, pine away;"
"827"	"contego"	"cover up, conceal, hide; protect; clothe; roof over; bury/entomb; strew thickly;"
"828"	"contemno"	"think little of; look down on, take poor view of; pay no heed/disregard/slight;"
"829"	"contemno"	"|treat with/hold in contempt, scorn, disdain; despise; keep away from, avoid;"
"830"	"contemno"	"think little of; look down on, take poor view of; pay no heed/disregard/slight;"
"831"	"contemno"	"|treat with/hold in contempt, scorn, disdain; despise; keep away from, avoid;"
"832"	"contempno"	"think little of; look down on, take poor view of; pay no heed/disregard/slight;"
"833"	"contempno"	"|treat with/hold in contempt, scorn, disdain; despise; keep away from, avoid;"
"834"	"contendo"	"stretch, draw tight, make taut; draw/bend (bow/catapult); tune; stretch out;"
"835"	"contendo"	"|compete/contend (fight/law), dispute; compare/match/contrast; demand/press for;"
"836"	"contendo"	"||strain/tense; make effort, strive for; speak seriously/passionately; assert;"
"837"	"contendo"	"|||hurl, shoot; direct; travel; extend; rush to, be in a hurry, hasten;"
"838"	"contenebrasco"	"become/grow completely/very dark; [used IMPERS => it grew very/completely dark];"
"839"	"contero"	"grind, crush, pound to pieces; bruise, crumble; rub/wipe away/out/off, expunge;"
"840"	"contero"	"|spend, exhaust, waste (time), use up; wear out/down; make weary;"
"841"	"contexo"	"weave/entwine/braid/twist together; compose/connect/link/combine; make/join/form"
"842"	"conticesco"	"cease to talk, fall silent, lapse into silence; cease to function, become idle;"
"843"	"conticisco"	"cease to talk, fall silent, lapse into silence; cease to function, become idle;"
"844"	"contingo"	"happen, befall, turn out, come to pass, be granted to one; be produced;"
"845"	"contingo"	"touch; reach (to); border on, be connected with; affect, hit; take hold, seize;"
"846"	"contingo"	"|color/stain; lay hands on, appropriate; smite; affect emotionally, move/touch;"
"847"	"contingt"	"it happens, it turns out; (PERF) it came to pass;"
"848"	"contollo"	"step up/go (to meet a person) (w/gradum); bring together (L+S);"
"849"	"contradico"	"gainsay/contradict; speak against/speak for adversary, oppose/object to/contest;"
"850"	"contrado"	"deliver together/wholly;"
"851"	"contrafacio"	"act against;"
"852"	"contrafaco"	"counterfeit, forge, fake;"
"853"	"contraho"	"enter into/upon relationship/agreement/business/marriage/loan/battle, deal with;"
"854"	"contraho"	"|bring/draw together/in, assemble, collect/gather; unite in friendship/alliance;"
"855"	"contraho"	"||sadden/depress/diminish/contract/tighten; cause/provoke (disease/war); commit;"
"856"	"contrapono"	"put/place/set/station against/opposite; place in opposition;"
"857"	"contrascribo"	"counter-sign;"
"858"	"contremesco"	"tremble all over; shake (violently), quake; tremble at/with fear, be afraid of;"
"859"	"contremisco"	"tremble all over; shake (violently), quake; tremble at/with fear, be afraid of;"
"860"	"contremo"	"tremble/shake violently; quake;"
"861"	"contribuo"	"unite/incorporate, join/attach (to state); assign/allot; contribute/give, share;"
"862"	"controverto"	"deny; oppose, voice opposition;"
"863"	"contrudo"	"thrust/crowd (together), impel; thrust/press/push in (to receptacle), cram/stow;"
"864"	"contumesco"	"swell greatly;"
"865"	"contundo"	"quell/crush/outdo/subdue utterly; bruise/beat; pound to pieces/powder/pulp;"
"866"	"contuo"	"look at/gaze on/behold; see to; be in sight of, have view of; contemplate/weigh;"
"867"	"convalesco"	"grow strong/thrive/gain power; regain health/strength, recover, get well/better;"
"868"	"convalesco"	"|become valid; (legal term);"
"869"	"convalo"	"grow strong/thrive/gain power; regain health/strength, recover, get well/better;"
"870"	"conveho"	"bring/carry/bear together/to one place; collect, gather; get in (harvest) (L+S);"
"871"	"convello"	"shatter, batter, convulse, shake violently; heave up, set in motion; overthrow;"
"872"	"convello"	"|pull/pluck/tug/tear up/at dislodge, uproot; wrench, strain, dislocate (limbs);"
"873"	"convergo"	"incline together;"
"874"	"converro"	"sweep/brush/scrape together/thoroughly/up; sweep/beat clean; clear away (L+S);"
"875"	"converto"	"turn upside down/side-to-side; invert/transpose/convulse; turn over (soil)/dig;"
"876"	"converto"	"|turn backwards, recoil; retort; drive back, repulse; direct (course/attention);"
"877"	"converto"	"||translate; modify, adapt; change/alter/transform; convert (to cash), pay over;"
"878"	"converto"	"|||cause to turn/revolve, rotate; turn/wheel about; reverse; shift/transfer;"
"879"	"convinco"	"conquer, establish; convince; overcome, demonstrate, prove clearly; grant;"
"880"	"convinco"	"|find guilty/against, convict; prove wrong, refute (person/statement); expose;"
"881"	"conviresco"	"grow green, become verdant;"
"882"	"conviso"	"watch/look at/scan; visit, go to see; consider attentively, examine thoroughly;"
"883"	"convivo"	"live at same time, be contemporary; spend time in company; live/dine together;"
"884"	"convolvo"	"roll/whirl together/round; carry/sweep away; roll up/coil/twist; enfold; writhe;"
"885"	"convolvo"	"|fasten together, interweave, interlace; unroll and roll up (scroll), look up;"
"886"	"convomo"	"vomit over/on; bespew upon (L+S);"
"887"	"convorro"	"sweep/brush/scrape together/thoroughly/up; sweep/beat clean; clear away (L+S);"
"888"	"coquo"	"cook; boil, fry, bake; burn, parch (sun); stir up; ripen, mature (plot); digest;"
"889"	"cornesco"	"become horny; (sexually stimulated); become like horn, turn to horn (L+S);"
"890"	"corporasco"	"assume a body; become incarnate;"
"891"	"corrado"	"rake/sweep/draw together; amass with difficulty, scrape together; scrape off;"
"892"	"correpo"	"creep, crawl; slink, move stealthily; take to the bush; creep (of the flesh);"
"893"	"corrigo"	"correct, set right; straighten; improve, edit, reform; restore, cure; chastise;"
"894"	"corripio"	"seize/grasp/snatch up, lay hold of; sweep off; carry away; appropriate/arrogate;"
"895"	"corripio"	"|censure/reproach/rebuke/chastise; shorten/abridge; hasten (upon); catch (fire);"
"896"	"corrodo"	"gnaw, gnaw away; chew up; gnaw to pieces (L+S);"
"897"	"corrumpo"	"spoil/rot; taint/contaminate; damage/ruin, undo; destroy/deface; digest; infect;"
"898"	"corrumpo"	"|pervert, corrupt, deprave; bribe, suborn; seduce, tempt, beguile; falsify;"
"899"	"corruo"	"fall/break down, fall to ground/from height, collapse; be ruined, come to grief;"
"900"	"corruo"	"|topple (house/wall), totter; subside (ground); rush/sweep together; overthrow;"
"901"	"cosmitto"	"bring together, unite/join, connect/attach; put together, construct; entrust;"
"902"	"cosmitto"	"|engage (battle), set against; begin/start; bring about; commit; incur; forfeit;"
"903"	"crassesco"	"thicken, fatten, become thick/hard/large/fat/dense/solid; condense; set;"
"904"	"crebesco"	"become frequent/widespread, increase, strengthen; spread/be noised abroad (L+S);"
"905"	"crebresco"	"become frequent/widespread, increase, strengthen; spread/be noised abroad (L+S);"
"906"	"credo"	"trust, entrust; commit/consign; believe, trust in, rely on, confide; suppose;"
"907"	"credo"	"|lend (money) to, make loans/give credit; believe/think/accept as true/be sure;"
"908"	"creduo"	"believe, confide; commit/consign; suppose; lend; (archaic form of credo);"
"909"	"cresco"	"come forth/to be; arise/spring (from); be born; become visible/great; grow (up);"
"910"	"cresco"	"|thrive, increase (size/number/honor), multiply; ascend; attain, be promoted;"
"911"	"crucifigo"	"crucify; attach to a cross;"
"912"	"crudesco"	"become fierce/violent/savage/hard (persons/battle/disease); grow worse (L+S);"
"913"	"cudo"	"beat/pound/thresh; forge/stamp/hammer (metal); make by beating/striking, coin;"
"914"	"cupio"	"wish/long/be eager for; desire/want, covet; desire as a lover; favor, wish well;"
"915"	"cupisco"	"wish, desire;"
"916"	"curago"	"manage, take charge;"
"917"	"curro"	"run/trot/gallop, hurry/hasten/speed, move/travel/proceed/flow swiftly/quickly;"
"918"	"curvesco"	"be crooked/curved; make a curve;"
"919"	"deago"	"remove, take off;"
"920"	"debattuo"	"belabor/batter/beat, thump hard; bang; (of sexual intercourse, usu. adulterous);"
"921"	"debatuo"	"belabor/batter/beat, thump hard; bang; (of sexual intercourse, usu. adulterous);"
"922"	"debibo"	"drink of;"
"923"	"decalesco"	"become warm;"
"924"	"decalifacio"	"warm thoroughly; warm through-and-through;"
"925"	"decano"	"celebrate by singing;"
"926"	"decarpo"	"pluck, pull/tear/snip off, pick; cull; reap/procure/gather; catch/snatch; remove"
"927"	"decaulesco"	"form a stem; run to stalk;"
"928"	"decedo"	"withdraw/retire, go off/away, depart, leave; relinquish/cease; desert/abandon;"
"929"	"decedo"	"|quit office and return home; make/get out of the way; yield; wane; fall short;"
"930"	"decedo"	"|stray/digress; pass away/depart life, die; subside/cease (feelings); disappear;"
"931"	"decello"	"deviate, turn aside;"
"932"	"decerno"	"decide/settle/determine/resolve; decree/declare/ordain; judge; vote for/contend;"
"933"	"decerpo"	"pluck, pull/tear/snip off, pick; cull; reap/procure/gather; catch/snatch; remove"
"934"	"decido"	"fall/drop/hang/flow down/off/over; sink/drop; fail, fall in ruin; end up; die;"
"935"	"decido"	"detach, cut off/out/down; fell; cut/notch/carve to delineate; flog thoroughly;"
"936"	"decido"	"|make explicit; put an end to, bring to conclusion, settle/decide/agree (on);"
"937"	"decineresco"	"be wholly/completely reduced to ashes;"
