ear,formed_from_present_stem,2nd present subjunctive passive 1stPerson singular
earis,formed_from_present_stem,2nd present subjunctive passive 2ndPerson singular
eas,formed_from_present_stem,2nd present subjunctive active 2ndPerson singular
eat,formed_from_present_stem,2nd present subjunctive active 3rdPerson singular
eatis,formed_from_present_stem,2nd present subjunctive active 2ndPerson plural
eatur,formed_from_present_stem,2nd present subjunctive passive 3rdPerson singular
ebam,formed_from_present_stem,2nd imperfect indicative active 1stPerson singular
ebam,formed_from_present_stem,3rd imperfect indicative active 1stPerson singular
ebamini,formed_from_present_stem,2nd imperfect indicative passive 2ndPerson plural
ebamini,formed_from_present_stem,3rd imperfect indicative passive 2ndPerson plural
ebamur,formed_from_present_stem,2nd imperfect indicative passive 1stPerson plural
ebamur,formed_from_present_stem,3rd imperfect indicative passive 1stPerson plural
ebamus,formed_from_present_stem,2nd imperfect indicative active 1stPerson plural
ebamus,formed_from_present_stem,3rd imperfect indicative active 1stPerson plural
ebant,formed_from_present_stem,2nd imperfect indicative active 3rdPerson plural
ebant,formed_from_present_stem,3rd imperfect indicative active 3rdPerson plural
ebantur,formed_from_present_stem,2nd imperfect indicative passive 3rdPerson plural
ebantur,formed_from_present_stem,3rd imperfect indicative passive 3rdPerson plural
ebar,formed_from_present_stem,2nd imperfect indicative passive 1stPerson singular
ebar,formed_from_present_stem,3rd imperfect indicative passive 1stPerson singular
ebaris,formed_from_present_stem,2nd imperfect indicative passive 2ndPerson singular
ebaris,formed_from_present_stem,3rd imperfect indicative passive 2ndPerson singular
ebas,formed_from_present_stem,2nd imperfect indicative active 2ndPerson singular
ebas,formed_from_present_stem,3rd imperfect indicative active 2ndPerson singular
ebat,formed_from_present_stem,2nd imperfect indicative active 3rdPerson singular
ebat,formed_from_present_stem,3rd imperfect indicative active 3rdPerson singular
ebatis,formed_from_present_stem,2nd imperfect indicative active 2ndPerson plural
ebatis,formed_from_present_stem,3rd imperfect indicative active 2ndPerson plural
ebatur,formed_from_present_stem,2nd imperfect indicative passive 3rdPerson singular
ebatur,formed_from_present_stem,3rd imperfect indicative passive 3rdPerson singular
eberis,formed_from_present_stem,2nd future indicative passive 2ndPerson singular
ebimini,formed_from_present_stem,2nd future indicative passive 2ndPerson plural
ebimur,formed_from_present_stem,2nd future indicative passive 1stPerson plural
ebimus,formed_from_present_stem,2nd future indicative active 1stPerson plural
ebis,formed_from_present_stem,2nd future indicative active 2ndPerson singular
ebit,formed_from_present_stem,2nd future indicative active 3rdPerson singular
ebitis,formed_from_present_stem,2nd future indicative active 2ndPerson plural
ebitur,formed_from_present_stem,2nd future indicative passive 3rdPerson singular
ebo,formed_from_present_stem,2nd future indicative active 1stPerson singular
ebor,formed_from_present_stem,2nd future indicative passive 1stPerson singular
ebunt,formed_from_present_stem,2nd future indicative active 3rdPerson plural
ebuntur,formed_from_present_stem,2nd future indicative passive 3rdPerson plural
em,formed_from_present_stem,1st present subjunctive active 1stPerson singular
emini,formed_from_present_stem,1st present subjunctive passive 2ndPerson plural
emini,formed_from_present_stem,2nd present indicative passive 2ndPerson plural
emini,formed_from_present_stem,3rd future indicative passive 2ndPerson plural
emur,formed_from_present_stem,1st present subjunctive passive 1stPerson plural
emur,formed_from_present_stem,2nd present indicative passive 1stPerson plural
emur,formed_from_present_stem,3rd future indicative passive 1stPerson plural
emus,formed_from_present_stem,1st present subjunctive active 1stPerson plural
emus,formed_from_present_stem,2nd present indicative active 1stPerson plural
emus,formed_from_present_stem,3rd future indicative active 1stPerson plural
