1st_deponent,avers,"turn oneself away in disgust/horror, recoil; avoid, shun; refuse, reject;"
1st_deponent,avors,"turn oneself away in disgust/horror, recoil; avoid, shun; refuse, reject;"
1st_deponent,bacch,celebrate rites of Bacchus; revel/rave/riot; run wild; be frenzied/raving mad;
1st_deponent,bacc,"run riot/wild/crazy, dash in a frenzy; be frenzied;"
1st_deponent,baub,"bark (of dogs), bay, howl;"
1st_deponent,belliger,wage or carry on war; be at war;
1st_deponent,bell,"fight, wage war, struggle; take part in war/battle/fight (also animals/games);"
1st_deponent,benign,"rejoice, take delight (in);"
1st_deponent,bovin,"bellow at, revile; brawl;"
1st_deponent,bubulcit,drive/tend cattle; be a plowman/farm laborer; be a rustic in general;
1st_deponent,caerimoni,treat with due ceremony; worship;
1st_deponent,calumni,"accuse falsely; misrepresent, interpret wrongly; depreciate, find fault with;"
1st_deponent,carbuncul,be afflicted with a form of vine blight;
1st_deponent,carin,"curse, abuse, revile, blame; use abusive language;"
1st_deponent,carnific,"execute; behead; butcher; cut in pieces, mangle;"
1st_deponent,carnufic,"execute; behead; butcher; cut in pieces, mangle;"
1st_deponent,castrament,pitch a camp; encamp;
1st_deponent,castramet,pitch a camp; encamp;
1st_deponent,castrmet,pitch a camp; set up/pitch camp;
1st_deponent,caupon,"traffic/trade in, sell;"
1st_deponent,causific,"allege/offer a reason, put forward a pretext; pretend;"
1st_deponent,caus,"allege an excuse/reason, object; excuse oneself; plead a cause, bring action;"
1st_deponent,causs,"allege an excuse/reason, object; excuse oneself; plead a cause, bring action;"
1st_deponent,cavill,"jest, banter; make fun of, satirize, mock; use sophistry, quibble, cavil (at);"
1st_deponent,ceremoni,treat with due ceremony; worship;
1st_deponent,cerimoni,treat with due ceremony; worship;
1st_deponent,cert,"compete (in a contest), contend/struggle (at law/politics), strive;"
1st_deponent,cicatric,be scarred over/cicatrized;
1st_deponent,circul,form groups/circles round oneself; (for impromptu speech/giving performance);
1st_deponent,circumvag,"travel/wander/roam around/about; (person, sound, etc); encircle;"
1st_deponent,circumvectit,travel about; visit in succession;
1st_deponent,circumvect,sail round; travel round;
1st_deponent,circumvers,turn about repeatedly; spin/whirl about/around;
1st_deponent,circumvolut,roll over;
1st_deponent,circumvors,turn about repeatedly; spin/whirl about/around;
1st_deponent,cocion,"trade, traffic (in a petty way); be a dealer/broker;"
1st_deponent,coepul,feast/dine together;
1st_deponent,cognomin,be named/surnamed/called;
1st_deponent,cohort,"encourage, cheer up; exhort, rouse, incite; admonish;"
1st_deponent,collaet,rejoice together;
1st_deponent,collimit,border upon; (w/DAT);
1st_deponent,colluct,struggle physically; wrestle/contend (with); struggle/fight against (adversity);
1st_deponent,columb,bill and coo; (like doves);
1st_deponent,comis,"carouse, revel, make merry; hold a festive procession (L+S);"
1st_deponent,comiss,"carouse, revel, make merry; hold a festive procession (L+S);"
1st_deponent,comit,"join as an attendant, guard/escort; accompany, follow; attend (funeral);"
1st_deponent,comit,|go/be carried with; be retained/stay/grow/join with; be connected with; occur;
1st_deponent,commanduc,"chew up, chew/masticate thoroughly; chew to pieces (L+S);"
1st_deponent,commedit,"study, practice; imitate (poetic); impress carefully on one's mind (L+S);"
1st_deponent,comment,"think about; study beforehand, practice, prepare; discuss, argue over; imagine;"
1st_deponent,commerci,trade;
1st_deponent,commerc,"buy, purchase; buy up (L+S); trade/traffic together;"
1st_deponent,commin,"threaten, make a threat;"
1st_deponent,commiser,feel pity/compassion for; sympathize with; seek/arouse pity/sympathy for; bewail
