"","x"
"972","#conlacrumo, conlacrumare, conlacrumavi, conlacrumatus  V (1st)                                      [XXXES] :: weep together, weep in the company of someone; weep over/for (w/ACC); bewail;"
"973","#conlatero, conlaterare, conlateravi, conlateratus  V (1st) TRANS                                    [DXXFS] :: admit on both sides;"
"974","#conlatro, conlatrare, conlatravi, conlatratus  V (1st) TRANS                                        [XXXFO] :: bark in chorus at; bark/yelp fiercely at (L+S); inveigh against;"
"975","#conlaudo, conlaudare, conlaudavi, conlaudatus  V (1st) TRANS                                        [XXXCO] :: praise/extol highly; commend; eulogize;"
"976","#conlaxo, conlaxare, conlaxavi, conlaxatus  V (1st) TRANS                                            [XXXFO] :: loosen; make loose/porous (L+S);"
"977","#conlevo, conlevare, conlevavi, conlevatus  V (1st) TRANS                                            [XXXDO] :: make (entirely) smooth; smooth;"
"978","#conlibro, conlibrare, conlibravi, conlibratus  V (1st) TRANS                                        [XAXEO] :: measure; measure off (L+S);"
"979","#conligo, conligare, conligavi, conligatus  V (1st) TRANS                                            [XXXBO] :: bind/tie/pack together/up, connect, unite/unify; fetter/bind; immobilize, stop;"
"980","#conlimito, conlimitare, conlimitavi, conlimitatus  V (1st) INTRANS                                  [DXXES] :: border upon; (w/DAT);"
"981","#conlimo, conlimare, conlimavi, conlimatus  V (1st) TRANS                                            [XXXFO] :: direct (the eyes) sideways; glance sidelong;"
"982","#conlineo, conlineare, conlineavi, conlineatus  V (1st) TRANS                                        [XXXEO] :: align, direct, aim;"
"983","#conlinio, conliniare, conliniavi, conliniatus  V (1st) TRANS                                        [XXXDO] :: align, direct, aim;"
"984","#conloco, conlocare, conlocavi, conlocatus  V (1st) TRANS                                            [XXXAO] :: place/put/set in order/proper position, arrange; station, post, position; apply;"
"985","#conloco, conlocare, conlocavi, conlocatus  V (1st) TRANS                                            [XXXAO] :: |put together, assemble; settle/establish in a place/marriage; billet; lie down;"
"986","#conlocupleto, conlocupletare, conlocupletavi, conlocupletatus  V (1st) TRANS                        [XXXEO] :: enrich, make wealthy/very rich; embellish, adorn;"
"987","#conluco, conlucare, conlucavi, conlucatus  V (1st) TRANS                                            [XAXEO] :: prune; thin out (trees); clear/thin (forest) (L+S);"
"988","#conlumino, conluminare, conluminavi, conluminatus  V (1st) TRANS                                    [XXXEO] :: illuminate (on all sides/fully);"
"989","#conlustro, conlustrare, conlustravi, conlustratus  V (1st) TRANS                                    [XXXCO] :: illuminate, make bright, light up fully; look over, survey; traverse, explore;"
"990","#conlutito, conlutitare, conlutitavi, conlutitatus  V (1st) TRANS                                    [DXXES] :: soil/defile greatly/thoroughly;"
"991","#conlutlento, conlutlentare, conlutlentavi, conlutlentatus  V (1st) TRANS                            [XXXFO] :: cover over with mud;"
"992","#conmemoro, conmemorare, conmemoravi, conmemoratus  V (1st) TRANS                                    [XXXBO] :: recall (to self/other); keep in mind, remember; mention/relate; place on record;"
"993","#conmitigo, conmitigare, conmitigavi, conmitigatus  V (1st) TRANS                                    [XXXFO] :: soften; make soft (L+S); mellow;"
"994","#conmonstro, conmonstrare, conmonstravi, conmonstratus  V (1st) TRANS                                [XXXCS] :: point out (fully/distinctly), show where; make known, declare, reveal;"
"995","#conmoro, conmorare, conmoravi, conmoratus  V (1st)                                                  [DXXCS] :: stop/stay/remain, abide; linger, delay; detain, be delayed (menses); dwell on;"
"996","#conmostro, conmostrare, conmostravi, conmostratus  V (1st) TRANS                                    [XXXCS] :: point out (fully/distinctly), show where; make known, declare, reveal;"
"997","#conmunico, conmunicare, conmunicavi, conmunicatus  V (1st) TRANS                                    [XXXAS] :: share; share/divide with/out; receive/take a share of; receive; join with;"
"998","#conmunico, conmunicare, conmunicavi, conmunicatus  V (1st) TRANS                                    [XXXAS] :: |communicate, discuss, impart; make common cause; take common counsel, consult;"
"999","#connumero, connumerare, connumeravi, connumeratus  V (1st) TRANS                                    [XXXEO] :: reckon in, include in counting/the count; number with, reckon among (L+S);"
"1000","#conparo, conparare, conparavi, conparatus  V (1st) TRANS                                            [XXXAO] :: prepare; provide; compose; collect, get together/hold of; raise (force); unite;"
"1001","#conparo, conparare, conparavi, conparatus  V (1st) TRANS                                            [XXXAO] :: |place together, match, couple, pair; set/pit against; treat as equal; compare;"
"1002","#conparo, conparare, conparavi, conparatus  V (1st) TRANS                                            [XXXAO] :: ||set up/establish/institute; arrange, dispose, settle; buy, acquire, secure;"
"1003","#conpello, conpellare, conpellavi, conpellatus  V (1st) TRANS                                        [XXXBO] :: address, accost, speak to, call upon; appeal to; challenge; chide/rebuke; accuse"
"1004","#conpenso, conpensare, conpensavi, conpensatus  V (1st) TRANS                                        [XXXBO] :: balance/weigh, offset; get rid of; make good, compensate; save/secure; short cut"
"1005","#conperendino, conperendinare, conperendinavi, conperendinatus  V (1st) TRANS                        [XLXCO] :: adjourn the trial of a person; adjourn a trial; (for two days or later);"
"1006","#conpilo, conpilare, conpilavi, conpilatus  V (1st) TRANS                                            [XXXCO] :: rob, pillage, steal from (another writer), plagiarize; beat up thoroughly;"
"1007","#conplaco, conplacare, conplacavi, conplacatus  V (1st) TRANS                                        [XXXFO] :: conciliate (greatly), placate; win the sympathy of;"
"1008","#conplano, conplanare, conplanavi, conplanatus  V (1st) TRANS                                        [XXXCO] :: make (ground) level/flat; smooth out (trouble); pull down, raze to the ground;"
"1009","#conplico, conplicare, conplicavi, conplicatus  V (1st) TRANS                                        [XXXCO] :: fold/tie up/together; roll/curl/double up, wind (round); involve; bend at joint;"
"1010","#conplico, conplicare, conplicui, conplicitus  V (1st) TRANS                                         [XXXCO] :: fold/tie up/together; roll/curl/double up, wind (round); involve; bend at joint;"
"1011","#conploro, conplorare, conploravi, conploratus  V (1st)                                              [XXXCO] :: bewail, bemoan; lament loudly/together/violently; despair of; morn for;"
"1012","#conporto, conportare, conportavi, conportatus  V (1st) TRANS                                        [XXXCO] :: carry, transport, bring in, convey (to market); bring together; amass, collect;"
"1013","#conpoto, conpotare, conpotavi, conpotatus  V (1st) INTRANS                                          [XXXFO] :: drink together;"
"1014","#conprehenso, conprehensare, conprehensavi, conprehensatus  V (1st) TRANS                            [XXXFO] :: seize in an embrace; embrace, hug;"
"1015","#conprobo, conprobare, conprobavi, conprobatus  V (1st) TRANS                                        [XXXBO] :: approve, accept, sanction, ratify; prove, justify, confirm, attest, bear out;"
"1016","#conpulso, conpulsare, conpulsavi, conpulsatus  V (1st) TRANS                                        [XXXFO] :: batter, pound;"
"1017","#conpurgo, conpurgare, conpurgavi, conpurgatus  V (1st) TRANS                                        [XEXNS] :: purify completely/thoroughly;"
"1018","#conputo, conputare, conputavi, conputatus  V (1st) TRANS                                            [XSXBO] :: reckon/compute/calculate, sum/count (up); take/include in reckoning; work out;"
"1019","#conquadro, conquadrare, conquadravi, conquadratus  V (1st) INTRANS                                  [DXXES] :: agree with, be proportioned to; square to;"
"1020","#conquadro, conquadrare, conquadravi, conquadratus  V (1st) TRANS                                    [XXXEO] :: make square, square;"
"1021","#conquasso, conquassare, conquassavi, conquassatus  V (1st) TRANS                                    [XXXCO] :: shake violently; break, shatter; unsettle, disturb, throw into confusion;"
"1022","#conquino, conquinare, conquinavi, conquinatus  V (1st) TRANS                                        [EXXCE] :: befoul/pollute/defile wholly (immorality); contaminate/taint/infect (w/disease);"
"1023","#conregno, conregnare, conregnavi, conregnatus  V (1st) INTRANS                                      [DLXES] :: reign together with one;"
"1024","#conrepto, conreptare, conreptavi, conreptatus  V (1st) INTRANS                                      [DXXCS] :: creep;"
"1025","#conresuscito, conresuscitare, conresuscitavi, conresuscitatus  V (1st) TRANS                        [DEXES] :: raise up/from the dead together;"
"1026","#conrivo, conrivare, conrivavi, conrivatus  V (1st) TRANS                                            [XXXEO] :: lead/channel (water) into the same channel/basin, collect;"
"1027","#conroboro, conroborare, conroboravi, conroboratus  V (1st) TRANS                                    [XXXBO] :: strengthen, harden, reinforce; corroborate; mature; make powerful, fortify;"
"1028","#conrogo, conrogare, conrogavi, conrogatus  V (1st) TRANS                                            [XXXCO] :: collect money by begging/entreaty; summon/invite (persons) to a gathering;"
"1029","#conrotundo, conrotundare, conrotundavi, conrotundatus  V (1st) TRANS                                [XXXDO] :: make round; round off; amass/make up a round sum of money;"
"1030","#conrugo, conrugare, conrugavi, conrugatus  V (1st) TRANS                                            [XXXEO] :: make wrinkled; (make one turn up one's nose); corrugate;"
"1031","#conrutundo, conrutundare, conrutundavi, conrutundatus  V (1st) TRANS                                [XXXDO] :: make round; round off; amass/make up a round sum of money;"
"1032","#consacro, consacrare, consacravi, consacratus  V (1st) TRANS                                        [XEXBO] :: consecrate/dedicate, set apart; hallow, sanctify; deify; curse; vow to a god;"
"1033","#consaepto, consaeptare, consaeptavi, consaeptatus  V (1st) TRANS                                    [DXXFS] :: surround with a wall/fence/hedge; enclose, fence; fence/hedge in;"
"1034","#consaluto, consalutare, consalutavi, consalutatus  V (1st) TRANS                                    [XXXCO] :: hail/greet/salute (as); exchange greetings; greet/salute cordially (L+S);"
"1035","#consano, consanare, consanavi, consanatus  V (1st) TRANS                                            [XBXEO] :: heal; make whole; make wholly sound (L+S);"
"1036","#consarcino, consarcinare, consarcinavi, consarcinatus  V (1st) TRANS                                [XXXEO] :: stitch/sew/patch together;"
"1037","#consaucio, consauciare, consauciavi, consauciatus  V (1st) TRANS                                    [XWXEO] :: injure, wound severely;"
"1038","#consavio, consaviare, consaviavi, consaviatus  V (1st) TRANS                                        [XXXFO] :: cover with kisses; kiss affectionately (L+S);"
"1039","#conscelero, conscelerare, consceleravi, consceleratus  V (1st) TRANS                                [XXXEO] :: stain with crime, pollute with guilt, dishonor, disgrace by wicked conduct;"
"1040","#conscribillo, conscribillare, conscribillavi, conscribillatus  V (1st) TRANS                        [XXXEO] :: scrawl/scribble over/upon, cover with scribbling; mark by beating (L+S);"
"1041","#conseco, consecare, consecui, consectus  V (1st) TRANS                                              [XXXCO] :: dismember, chop/cut up/short/off/in pieces/deep; prune/top; lacerate; intersect;"
"1042","#consecro, consecrare, consecravi, consecratus  V (1st) TRANS                                        [XEXBO] :: consecrate/dedicate, set apart; hallow, sanctify; deify; curse; vow to a god;"
"1043","#consedo, consedare, consedavi, consedatus  V (1st) TRANS                                            [XXXFO] :: stop, check, allay; still, quiet (L+S);"
"1044","#consepto, conseptare, conseptavi, conseptatus  V (1st) TRANS                                        [DXXFS] :: surround with a wall/fence/hedge; enclose, fence; fence/hedge in;"
"1045","#conservo, conservare, conservavi, conservatus  V (1st)                                              [XXXBO] :: keep safe/intact, save (from danger); preserve, maintain; spare; keep/observe;"
"1046","#considero, considerare, consideravi, consideratus  V (1st) TRANS                                    [XXXBO] :: examine/look at/inspect; consider closely, reflect on/contemplate; investigate;"
"1047","#consignifico, consignificare, consignificavi, consignificatus  V (1st)                              [FGXFM] :: be significant; convey extra meaning;"
"1048","#consigno, consignare, consignavi, consignatus  V (1st) TRANS                                        [XXXCO] :: (fix a) seal; put on record; indicate precisely/establish; attest/authenticate;"
"1049","#consimilo, consimilare, consimilavi, consimilatus  V (1st) TRANS                                    [DXXES] :: compare;"
"1050","#consocio, consociare, consociavi, consociatus  V (1st)                                              [XXXCO] :: associate/join/unite (in), share; bring in close relation/alliance/partnership;"
"1051","#consolido, consolidare, consolidavi, consolidatus  V (1st) TRANS                                    [XXXEO] :: solidify, make solid/thick; merge (usufruct) attached property, consolidate;"
"1052","#consolo, consolare, consolavi, consolatus  V (1st) TRANS                                            [XXXDO] :: console, cheer, comfort; (PASS) console oneself, take comfort;"
"1053","#consomnio, consomniare, consomniavi, consomniatus  V (1st) TRANS                                    [BXXFS] :: dream of;"
"1054","#consono, consonare, consonui, -  V (1st)                                                            [XXXCO] :: sound/utter/make noise together, harmonize; resound/re-echo; agree;"
"1055","#conspiro, conspirare, conspiravi, conspiratus  V (1st) INTRANS                                      [XXXBO] :: plot/conspire/unite; sound/act in unison/harmony/accord; blow together (horns);"
"1056","#conspiro, conspirare, conspiravi, conspiratus  V (1st) TRANS                                        [DXXFS] :: coil up;"
"1057","#conspisso, conspissare, conspissavi, conspissatus  V (1st) TRANS                                    [XXXEO] :: thicken; condense;"
"1058","#conspolio, conspoliare, conspoliavi, conspoliatus  V (1st) TRANS                                    [DXXFS] :: rob;"
"1059","#conspurco, conspurcare, conspurcavi, conspurcatus  V (1st) TRANS                                    [XXXEO] :: befoul, pollute; defile sexually;"
"1060","#consputo, consputare, consputavi, consputatus  V (1st) TRANS                                        [XXXFO] :: spit on/over; (in contempt);"
"1061","#constagno, constagnare, constagnavi, constagnatus  V (1st) INTRANS                                  [DXXFS] :: cause to stand; congeal;"
"1062","#constat, constare, constitit, constatus est  V (1st) IMPERS                                         [XXXCQ] :: it is agreed/evident/understood/correct/well known (everyone knows/agrees);"
"1063","#consterno, consternare, consternavi, consternatus  V (1st) TRANS                                    [XXXCO] :: confound/shock/confuse/perplex/dismay; terrify/alarm/frighten, drive frantic;"
"1064","#consterno, consternare, consternavi, consternatus  V (1st) TRANS                                    [DXXDS] :: |overcome; stretch/lay out upon the ground; excite to sedition/revolt/mutiny;"
"1065","#constipo, constipare, constipavi, constipatus  V (1st) TRANS                                        [XXXEO] :: crowd together; press/crowd closely together (L+S);"
"1066","#consto, constare, constiti, constatus  V (1st) INTRANS                                              [XXXAO] :: agree/correspond/fit, be correct; be dependent/based upon; exist/continue/last;"
"1067","#consto, constare, constiti, constatus  V (1st) INTRANS                                              [XXXAO] :: |be certain/decided/consistent/sure/fixed/established/well-known/apparent/plain;"
"1068","#consto, constare, constiti, constatus  V (1st) INTRANS                                              [XXXAO] :: ||stand firm/still/erect/together; remain motionless/constant; consist of/in;"
"1069","#constricto, constrictare, constrictavi, constrictatus  V (1st) TRANS                                [DBXES] :: draw together; (medical term associated with cauterization and amputation);"
"1070","#constupro, constuprare, constupravi, constupratus  V (1st) TRANS                                    [XXXDO] :: ravish, rape; debauch, defile, corrupt; have illicit (adultery/forcible) sex;"
"1071","#consuavio, consuaviare, consuaviavi, consuaviatus  V (1st) TRANS                                    [XXXFO] :: cover with kisses; kiss affectionately (L+S);"
"1072","#consudo, consudare, consudavi, consudatus  V (1st) INTRANS                                          [XXXDO] :: sweat profusely/well/a lot; (also applied to packed olives/fruit);"
"1073","#consulto, consultare, consultavi, consultatus  V (1st)                                              [XXXBO] :: consult, take counsel; form plans, provide; consult oracle/astrologer;"
"1074","#consulto, consultare, consultavi, consultatus  V (1st)                                              [XXXBO] :: |deliberate, debate, discuss; consider carefully, weigh, ponder;"
"1075","#consummo, consummare, consummavi, consummatus  V (1st)                                              [XXXBO] :: add/reckon/total/sum/make up; finish off, end; bring about, achieve/accomplish;"
"1076","#consummo, consummare, consummavi, consummatus  V (1st)                                              [XXXBO] :: |bring to perfection; put finishing/crowning touch; serve one's time; be grown;"
"1077","#consusrro, consusrrare, consusrravi, consusrratus  V (1st) INTRANS                                  [XXXFO] :: whisper together;"
"1078","#contabulo, contabulare, contabulavi, contabulatus  V (1st) TRANS                                    [XXXCO] :: board over, cover with boards; furnish with roof/floor/bridge; build; bridge;"
"1079","#contamino, contaminare, contaminavi, contaminatus  V (1st) TRANS                                    [XXXBO] :: corrupt, defile (w/filth/intercourse), stain, befoul spoil; ruin, dishonor;"
"1080","#contamino, contaminare, contaminavi, contaminatus  V (1st) TRANS                                    [XXXBO] :: |debase w/mixture of inferior material; contaminate, infect; pollute (morally);"
"1081","#contemero, contemerare, contemeravi, contemeratus  V (1st) TRANS                                    [XXXEO] :: violate; defile, pollute; stain;"
"1082","#contempero, contemperare, contemperavi, contemperatus  V (1st) TRANS                                [XXXFO] :: temper (by mixing) (drink); moderate (L+S);"
"1083","#contemplo, contemplare, contemplavi, contemplatus  V (1st) TRANS                                    [XXXBO] :: observe/note/notice, gaze/look hard at, regard; contemplate/consider carefully;"
"1084","#contemporo, contemporare, contemporavi, contemporatus  V (1st) INTRANS                              [DXXFS] :: be contemporary, be at the same time;"
"1085","#contenebro, contenebrare, contenebravi, contenebratus  V (1st) TRANS                                [DEXFS] :: grow dark;"
"1086","#conterebro, conterebrare, conterebravi, conterebratus  V (1st) TRANS                                [DXXFS] :: pierce/bore through;"
"1087","#conterito, conteritare, -, -  V (1st) TRANS                                                         [EXXCW] :: frighten much/greatly/thoroughly, terrorize;"
"1088","#contermino, conterminare, conterminavi, conterminatus  V (1st) INTRANS                              [DXXFS] :: border on; be a borderer, have a common boundary;"
"1089","#conterno, conternare, conternavi, conternatus  V (1st) TRANS                                        [XXXFO] :: divide into groups of three; (persons);"
"1090","#conterrito, conterritare, -, -  V (1st) TRANS                                                       [XXXCO] :: frighten much/greatly/thoroughly, terrorize;"
"1091","#contessero, contesserare, contesseravi, contesseratus  V (1st) INTRANS                              [DXXFS] :: contract friendship with tesserae (token divided between friends as sign);"
"1092","#contigno, contignare, contignavi, contignatus  V (1st) TRANS                                        [XXXEO] :: join/furnish with joists/beams; rafter, floor;"
"1093","#continuo, continuare, continuavi, continuatus  V (1st) TRANS                                        [XXXBO] :: make continuous (space/time); put in line, join (in succession), connect, unite;"
"1094","#continuo, continuare, continuavi, continuatus  V (1st) TRANS                                        [XXXBO] :: |bridge (gap); extend/prolong/draw out/last/renew; keep on; do without pause;"
"1095","#continuo, continuare, continuavi, continuatus  V (1st) TRANS                                        [FLXEM] :: ||adjourn;"
"1096","#contonat, contonare, contonavit, -  V (1st) IMPERS                                                  [XXXFO] :: it thunders violently/loudly/heavily;"
"1097","#contracto, contractare, contractavi, contractatus  V (1st) TRANS                                    [XXXBO] :: handle, finger, touch repeatedly; feel; handle unlawfully (theft/embezzlement);"
"1098","#contracto, contractare, contractavi, contractatus  V (1st) TRANS                                    [XXXBO] :: |caress/fondle, handle amorously; have sex with; deal with/handle/apply oneself;"
"1099","#contrecto, contrectare, contrectavi, contrectatus  V (1st) TRANS                                    [XXXBO] :: touch repeatedly, handle, finger; feel; handle unlawfully (theft/embezzlement);"
"1100","#contrecto, contrectare, contrectavi, contrectatus  V (1st) TRANS                                    [XXXBO] :: |handle amorously, caress/fondle; have sex with; deal with/handle/apply oneself;"
"1101","#contribulo, contribulare, contribulavi, contribulatus  V (1st) TRANS                                [DEXDS] :: crush, bruise; afflict much, crush;"
"1102","#contrico, contricare, contricavi, contricatus  V (1st) TRANS                                        [XXXFO] :: fritter away, waste;"
"1103","#contristo, contristare, contristavi, contristatus  V (1st) TRANS                                    [XXXBO] :: sadden, make gloomy, depress, discourage; afflict, sap, damage (crops); darken;"
"1104","#contrucido, contrucidare, contrucidavi, contrucidatus  V (1st) TRANS                                [XXXCO] :: slaughter/butcher; cut/hew down/about; cut to/in pieces;"
"1105","#contrucido, contrucidare, contrucidavi, contrucidatus  V (1st) TRANS                                [XXXCO] :: |inflict many wounds on, kill large numbers; slay (L+S); put to the sword;"
"1106","#contrunco, contruncare, contruncavi, contruncatus  V (1st) TRANS                                    [XXXEO] :: hack/cut down/to pieces; gobble up, dispatch (food);"
"1107","#contumelio, contumeliare, contumeliavi, contumeliatus  V (1st) TRANS                                [XXXIO] :: insult; treat outrageously;"
"1108","#contumulo, contumulare, contumulavi, contumulatus  V (1st) TRANS                                    [XXXDO] :: bury, inter; heap together; heap up like a mound (L+S); furnish with a mound;"
"1109","#conturbo, conturbare, conturbavi, conturbatus  V (1st)                                              [XXXCO] :: confuse, disquiet/confound/derange/dismay, upset/mix up; go bankrupt, default;"
"1110","#conturmo, conturmare, conturmavi, conturmatus  V (1st) TRANS                                        [DWXFS] :: arrange in turmae/squadrons (cavalry);"
"1111","#convalido, convalidare, convalidavi, convalidatus  V (1st) TRANS                                    [EXXEE] :: validate, make valid;"
"1112","#convallo, convallare, convallavi, convallatus  V (1st) TRANS                                        [XXXFO] :: surround with a rampart/entrenchment; hedge in; encircle, surround (L+S);"
"1113","#convario, convariare, convariavi, convariatus  V (1st) INTRANS                                      [DXXFS] :: vary, be different;"
"1114","#convario, convariare, convariavi, convariatus  V (1st) TRANS                                        [XXXFO] :: spot, variegate;"
"1115","#convaso, convasare, convasavi, convasatus  V (1st) TRANS                                            [XWXFO] :: pack up (baggage); pack vessels/implements together (L+S); pile up;"
"1116","#convecto, convectare, convectavi, convectatus  V (1st)                                              [XXXEO] :: carry/bring together (in abundance); gather, collect;"
"1117","#convelo, convelare, convelavi, convelatus  V (1st) TRANS                                            [XXXEO] :: cover (over), veil; wrap around;"
"1118","#convenusto, convenustare, convenustavi, convenustatus  V (1st) TRANS                                [DXXDS] :: ornament, adorn;"
"1119","#converbero, converberare, converberavi, converberatus  V (1st) TRANS                                [XXXCO] :: beat, batter; bruise; strike severely (L+S); chastise;"
"1120","#converso, conversare, conversavi, conversatus  V (1st) TRANS                                        [XXXEO] :: turn, turn over in the mind, ponder; turn around (L+S);"
"1121","#convexo, convexare, convexavi, convexatus  V (1st) TRANS                                            [XXXFO] :: jostle, push against; press/squeeze together (L+S);"
"1122","#convibro, convibrare, convibravi, convibratus  V (1st)                                              [XXXEO] :: move rapidly, flash; set in rapid motion; move something quickly/rapidly;"
"1123","#conviolo, conviolare, conviolavi, conviolatus  V (1st) TRANS                                        [XEXIO] :: violate, desecrate (tomb/etc.);"
"1124","#convisero, conviserare, conviseravi, conviseratus  V (1st) TRANS                                    [DXXFS] :: incorporate, unite;"
"1125","#convitio, convitiare, convitiavi, convitiatus  V (1st) TRANS                                        [DWXFS] :: attack/injure at some later time;"
"1126","#convivifico, convivificare, convivificavi, convivificatus  V (1st) TRANS                            [DEXES] :: quicken together; revive, give/restore life together (physical/spiritual);"
"1127","#convivo, convivare, convivavi, convivatus  V (1st) INTRANS                                          [XXXCO] :: give/attend dinner party/banquet; carouse; eat/feast together (L+S); live with;"
"1128","#convoco, convocare, convocavi, convocatus  V (1st) TRANS                                            [XXXBO] :: call/bring together; assemble; convoke/convene; summon/muster; collect (thing);"
"1129","#convolnero, convolnerare, convolneravi, convolneratus  V (1st) TRANS                                [XXXCO] :: wound/inflict severe wounds (person/body part); cut; bore, perforate (pipe);"
"1130","#convolo, convolare, convolavi, convolatus  V (1st) INTRANS                                          [XXXCO] :: fly/flock together; run together; assemble rapidly; have recourse to (w/ad);"
"1131","#convoluto, convolutare, -, convolutatus  V (1st) INTRANS                                            [XXXEO] :: revolve; whirl around; wallow in vice;"
"1132","#convoluto, convolutare, convolutavi, convolutatus  V (1st) TRANS                                    [XXXFS] :: whirl/roll around rapidly?;"
"1133","#convoro, convorare, convoravi, convoratus  V (1st) TRANS                                            [DXXFS] :: eat up, devour;"
"1134","#convulnero, convulnerare, convulneravi, convulneratus  V (1st) TRANS                                [XXXCO] :: inflict severe wounds (on person/part of body); cut; bore, perforate (pipe);"
"1135","#coopero, cooperare, cooperavi, cooperatus  V (1st)                                                  [FXXEE] :: work with/together, cooperate (with); combine, unite;"
"1136","#coopto, cooptare, cooptavi, cooptatus  V (1st) TRANS                                                [XXXCO] :: choose (colleague in office), elect; co-opt, admit;"
"1137","#coordino, coordinare, coordinavi, coordinatus  V (1st) INTRANS                                      [FXXDO] :: coordinate, arrange together; set in order; correlate;"
"1138","#copto, coptare, coptavi, coptatus  V (1st) TRANS                                                    [XXXCO] :: choose (colleague in office), elect; co-opt, admit;"
"1139","#copulo, copulare, copulavi, copulatus  V (1st) TRANS                                                [XXXBO] :: connect, join physically, couple; bind/tie together, associate, unite, ally;"
"1140","#coquino, coquinare, coquinavi, coquinatus  V (1st) TRANS                                            [XXXCS] :: befoul/pollute/defile wholly; (coinquino); contaminate/taint/infect (w/disease);"
"1141","#coquino, coquinare, coquinavi, coquinatus  V (1st) TRANS                                            [XXXEO] :: cook, prepare food;"
"1142","#coquito, coquitare, coquitavi, coquitatus  V (1st) TRANS                                            [BXXFO] :: cook; boil, fry, bake; burn, parch (sun); stir up; ripen, mature (plot); digest;"
"1143","#coracino, coracinare, coracinavi, coracinatus  V (1st) INTRANS                                      [DAXFS] :: caw (like a crow); croak (like a frog);"
"1144","#corono, coronare, coronavi, coronatus  V (1st)                                                      [XXXBX] :: wreathe, crown, deck with garlands; award prize; surround/encircle, ring round;"
"1145","#corporo, corporare, corporavi, corporatus  V (1st) TRANS                                            [XXXDO] :: kill, strike dead; form into a body, furnish w/a body; form (corporate society);"
"1146","#corregno, corregnare, corregnavi, corregnatus  V (1st) INTRANS                                      [DLXES] :: reign together with one;"
"1147","#correpto, correptare, correptavi, correptatus  V (1st) INTRANS                                      [DXXCS] :: creep;"
"1148","#corresuscito, corresuscitare, corresuscitavi, corresuscitatus  V (1st) TRANS                        [DEXES] :: raise up/from the dead together;"
"1149","#corrivo, corrivare, corrivavi, corrivatus  V (1st) TRANS                                            [XXXEO] :: lead/channel (water) into the same channel/basin, collect;"
"1150","#corroboro, corroborare, corroboravi, corroboratus  V (1st) TRANS                                    [XXXBO] :: strengthen, harden, reinforce; corroborate; mature; make powerful, fortify;"
"1151","#corrogo, corrogare, corrogavi, corrogatus  V (1st) TRANS                                            [XXXCO] :: collect money by begging/entreaty; summon/invite (persons) to a gathering;"
"1152","#corrotundo, corrotundare, corrotundavi, corrotundatus  V (1st) TRANS                                [XXXDO] :: make round; round off; amass/make up a round sum of money;"
"1153","#corrugo, corrugare, corrugavi, corrugatus  V (1st) TRANS                                            [XXXEO] :: make wrinkled; (make one turn up one's nose); corrugate;"
"1154","#corrutundo, corrutundare, corrutundavi, corrutundatus  V (1st) TRANS                                [XXXDO] :: make round; round off; amass/make up a round sum of money;"
"1155","#corusco, coruscare, coruscavi, coruscatus  V (1st)                                                  [XXXBO] :: brandish/shake/quiver; flash/glitter, emit/reflect intermittent/quivering light;"
"1156","#cosidero, cosiderare, cosideravi, cosideratus  V (1st) TRANS                                        [XXXIO] :: examine/look at/inspect; consider closely, reflect on/contemplate; investigate;"
"1157","#cosigno, cosignare, cosignavi, cosignatus  V (1st) TRANS                                            [XXXIO] :: (fix a) seal; put on record; indicate precisely/establish; attest/authenticate;"
"1158","#crasso, crassare, crassavi, crassatus  V (1st) TRANS                                                [XXXFO] :: thicken, condense, make thick;"
"1159","#credito, creditare, creditavi, creditatus  V (1st) TRANS                                            [DXXFS] :: believe strongly;"
"1160","#cremito, cremitare, cremitavi, cremitatus  V (1st) TRANS                                            [BXXFO] :: burn; cremate;"
"1161","#cremo, cremare, cremavi, crematus  V (1st) TRANS                                                    [XXXBO] :: burn (to ash)/cremate; consume/destroy (fire); burn alive; make burnt offering;"
"1162","#creo, creare, creavi, creatus  V (1st) TRANS                                                        [XXXBO] :: create/bring into being/make; procreate; beget/sire; give birth to;"
"1163","#creo, creare, creavi, creatus  V (1st) TRANS                                                        [XXXBO] :: |produce/bear fruit; bring about; cause to grow; elect, appoint, invest;"
"1164","#creo, creare, creavi, creatus  V (1st) TRANS                                                        [XXXBO] :: ||institute; conjure up; (PASS) be born/spring from; be home/native of;"
"1165","#crepito, crepitare, crepitavi, crepitatus  V (1st) INTRANS                                          [XXXCO] :: rattle/clatter; rustle/crackle; produce rapid succession of sharp/shrill noises;"
"1166","#crepo, crepare, crepui, crepitus  V (1st)                                                           [XXXBO] :: rattle/rustle/clatter; jingle/tinkle; snap (fingers); harp on, grumble at; fart;"
"1167","#crepo, crepare, crepui, crepitus  V (1st)                                                           [FXXBE] :: |crack; burst asunder; resound;"
"1168","#cresso, cressare, cressavi, cressatus  V (1st)                                                      [XXXDM] :: increase (size/number/honor), multiply; thrive;"
"1169","#cribello, cribellare, cribellavi, cribellatus  V (1st) TRANS                                        [DXXFS] :: sift, pass through a sieve;"
"1170","#cribro, cribrare, cribravi, cribratus  V (1st) TRANS                                                [XXXEO] :: sift, pass through a sieve;"
"1171","#crimino, criminare, criminavi, criminatus  V (1st) TRANS                                            [BLXDO] :: accuse, denounce; charge (with); allege with accusation; make accusations;"
