"","V1","V2"
"99","cosens","join/share in sensation/feeling; be in agreement/harmony; be of the same mind;"
"100","cosens","|act together; plot, conspire, combine; coincide; be in conjunction (planets);"
"101","cosens","||agree, consent; fit/be consistent/in sympathy/unison with; favor; assent to;"
"102","crativ","bush-harrow;"
"103","custodiv","guard/protect/preserve, watch over, keep safe; take heed/care, observe; restrain"
"104","definiv","define/bound/fix/limit/mark; restrict/confine; assign, ordain; lay down (rule);"
"105","definiv","|finish off/put an end/end the life; determine, settle; specify, sum up; assert;"
"106","deglutiv","swallow down; overwhelm, abolish (L+S);"
"107","degluttiv","swallow down; overwhelm, abolish (L+S);"
"108","dehaus","drain off; skim off (L+S); (late) swallow, swallow down;"
"109","deleniv","mitigate, mollify, smooth down, soothe; soften, cajole; bewitch, charm, entice;"
"110","deliniv","mitigate, mollify, smooth down, soothe; soften, cajole; bewitch, charm, entice;"
"111","demoliv","throw/cast off, remove; pull/tear down, demolish/destroy/lay waste; abolish;"
"112","demugiv","fill with the sound of lowing/bellowing;"
"113","deoperu","uncover, lay bare; open up; disclose (L+S);"
"114","depoliv","polish thoroughly; smooth, polish off (L+S);"
"115","depuiv","beat thoroughly; strike, beat;"
"116","depuviv","beat thoroughly; strike, beat;"
"117","desaev","rage, rave furiously; work off/vent one's rage;"
"118","desaeviv","rage, rave furiously; work off/vent one's rage;"
"119","deserviv","serve; devote oneself to (interest/job); be subject to; be of service/use to;"
"120","desiliv","leap/jump down, dismount, alight; (chariot); jump headlong, venture heedlessly;"
"121","desilu","leap/jump down, dismount, alight; (chariot); jump headlong, venture heedlessly;"
"122","desulu","leap/jump down, dismount, alight; (chariot); jump headlong, venture heedlessly;"
"123","deven","come to, arrive/turn up (at); go (to see/stay); reach; land; turn to; extend to;"
"124","devestiv","undress (w/ABL); change/take off clothes; strip (off);"
"125","devinx","tie/bind up, hold/fix fast; subjugate; obligate/oblige/constrain; unite closely;"
"126","diffiniv","define/bound/fix/limit/mark; restrict/confine; assign, ordain; lay down (rule);"
"127","dilargiv","lavish; give away freely; give/bestow liberally/profusely/recklessly;"
"128","dimoliv","throw/cast off, remove; pull/tear down, demolish/destroy/lay waste; abolish;"
"129","discooperu","expose, bare, lay bare, uncover; disclose; put/take off, remove;"
"130","discoperu","expose, bare, lay bare, uncover; disclose; put/take off, remove;"
"131","disiliv","leap from one place to another;"
"132","dispartiv","divide (up); distribute; assign; separate into lots/groups;"
"133","dispertiv","divide (up); distribute; assign; separate into lots/groups;"
"134","disseisiv","disseise; dispossess; put out of seisin/possession (usu. wrongfully); oust;"
"135","dissens","dissent, disagree; differ;"
"136","dissilu","fly/leap/burst apart; break up; be broken up; burst; split;"
"137","dormiv","sleep, rest; be/fall asleep; behave as if asleep; be idle, do nothing;"
